LON, LAT
120.686329985, 31.3980594277
120.68632219, 31.3980647083
120.686312718, 31.3980710786
120.686304923, 31.3980763592
120.686297128, 31.3980816398
120.686287656, 31.3980879262
120.686279861, 31.398093123
120.686272066, 31.3980983198
120.686264187, 31.3981036004
120.686256476, 31.3981087133
120.686249435, 31.398113491
120.686241807, 31.3981185202
120.686233928, 31.3981237169
120.686225966, 31.3981289137
120.686216494, 31.398135284
120.686208615, 31.3981404807
120.686200401, 31.3981458452
120.686192354, 31.3981511258
120.686182883, 31.3981573284
120.686176596, 31.3981613517
120.686167292, 31.3981674705
120.68616109, 31.3981714938
120.68615187, 31.3981774449
120.686145583, 31.3981814682
120.686136028, 31.3981876709
120.686128065, 31.3981927838
120.686120186, 31.398197813
120.686110882, 31.3982038479
120.686104679, 31.3982077874
120.686095292, 31.3982138224
120.686087077, 31.398219103
120.686078863, 31.3982242998
120.686071152, 31.3982292451
120.686063524, 31.3982341066
120.686055562, 31.3982391357
120.686047683, 31.3982440811
120.686039887, 31.3982489426
120.686030583, 31.3982547261
120.686022369, 31.3982599229
120.686014239, 31.398264952
120.686006192, 31.3982699811
120.685996553, 31.3982760161
120.685989009, 31.39828071
120.685981466, 31.3982854038
120.685973922, 31.3982900977
120.685966546, 31.3982946239
120.685959002, 31.398299234
120.685951374, 31.3983039279
120.685943076, 31.3983088732
120.685934611, 31.39831407
120.685925139, 31.3983198535
120.68591726, 31.3983246312
120.685909046, 31.3983294927
120.685900915, 31.398334438
120.685893456, 31.3983388804
120.685886331, 31.398343239
120.6858782, 31.3983480167
120.685868477, 31.3983539678
120.685862191, 31.3983578235
120.685852636, 31.3983635232
120.685846182, 31.3983673789
120.685836123, 31.3983734138
120.685828663, 31.3983778562
120.685821371, 31.398382131
120.68581366, 31.3983866572
120.685804356, 31.3983921055
120.685796477, 31.3983967155
120.685790107, 31.3984004036
120.6857803, 31.3984061871
120.685771834, 31.3984110486
120.685763871, 31.3984156586
120.685755992, 31.3984202687
120.685748449, 31.3984246273
120.685740989, 31.398428902
120.685731601, 31.3984342664
120.685723722, 31.3984387927
120.685715675, 31.3984434027
120.685707545, 31.3984480966
120.68569799, 31.3984535448
120.685689859, 31.3984582387
120.68568198, 31.3984628487
120.685673933, 31.3984674588
120.685666222, 31.3984718174
120.685658595, 31.398476176
120.685650548, 31.398480786
120.685640741, 31.3984864019
120.685633365, 31.3984905928
120.685626324, 31.3984946162
120.685618445, 31.3984990586
120.685610482, 31.3985035848
120.685602436, 31.398508111
120.685594054, 31.3985128887
120.685584582, 31.3985181693
120.685578464, 31.3985216059
120.685568908, 31.3985269703
120.68556237, 31.3985306583
120.685552899, 31.3985359389
120.685545355, 31.3985401299
120.685537476, 31.3985444885
120.685529597, 31.3985489309
120.685521718, 31.3985532057
120.685512247, 31.3985584863
120.68550596, 31.3985619228
120.685496489, 31.3985672034
120.685488777, 31.3985713944
120.685481736, 31.3985753339
120.685474193, 31.3985795248
120.685466146, 31.3985838834
120.685458183, 31.398588242
120.685450053, 31.3985927682
120.685442006, 31.3985972106
120.685434043, 31.3986016531
120.685424488, 31.3986068498
120.685416609, 31.3986112084
120.68540873, 31.3986154832
120.685400935, 31.398619758
120.685393056, 31.3986240327
120.685386853, 31.3986273855
120.685377466, 31.3986324146
120.685369922, 31.3986366056
120.685360786, 31.3986415509
120.68535299, 31.3986458257
120.685345195, 31.3986500166
120.685337987, 31.3986539561
120.685330527, 31.3986578956
120.68532248, 31.3986622542
120.68531435, 31.3986666128
120.685306052, 31.3986712229
120.685297754, 31.3986757491
120.685288366, 31.398680862
120.685280655, 31.398685053
120.685273279, 31.3986889925
120.685265902, 31.3986930158
120.68525861, 31.3986969553
120.685251318, 31.3987008948
