LON, LAT
120.687939701, 31.3965540961
120.687938599, 31.3965555945
120.687937396, 31.3965569926
120.687936294, 31.396558491
120.687935092, 31.3965599892
120.68793399, 31.3965613875
120.687932787, 31.3965628857
120.687931585, 31.3965642839
120.687930483, 31.3965657822
120.687929281, 31.3965672804
120.687928179, 31.3965686788
120.687926976, 31.3965701769
120.687925874, 31.3965715753
120.687924672, 31.3965730735
120.68792357, 31.3965745718
120.687922367, 31.39657597
120.687921165, 31.3965774682
120.687920063, 31.3965788665
120.687918861, 31.3965803647
120.687917758, 31.3965817631
120.687916556, 31.3965832612
120.687915454, 31.3965847596
120.687914252, 31.3965861578
120.687913049, 31.396587656
120.687911947, 31.3965890543
120.687910745, 31.3965905525
120.687909543, 31.3965919506
120.68790844, 31.396593449
120.687907238, 31.3965948472
120.687906036, 31.3965963454
120.687904934, 31.3965977437
120.687903731, 31.3965992419
120.687902529, 31.39660064
120.687901427, 31.3966021384
120.687900225, 31.3966035366
120.687899022, 31.3966050348
120.68789792, 31.3966065331
120.687896718, 31.3966079313
120.687895515, 31.3966094295
120.687894413, 31.3966108278
120.687893211, 31.396612326
120.687892009, 31.3966137241
120.687890806, 31.3966152223
120.687889704, 31.3966166207
120.687888502, 31.3966181189
120.6878873, 31.396619517
120.687886097, 31.3966210152
120.687884995, 31.3966224135
120.687883793, 31.3966239117
120.68788259, 31.3966253099
120.687881388, 31.3966268081
120.687880286, 31.3966282064
120.687879084, 31.3966296046
120.687877881, 31.3966311028
120.687876679, 31.3966325009
120.687875577, 31.3966339993
120.687874375, 31.3966353974
120.687873172, 31.3966368956
120.68787197, 31.3966382938
120.687870768, 31.396639792
120.687869666, 31.3966411903
120.687868463, 31.3966426885
120.687867261, 31.3966440866
120.687866059, 31.3966454848
120.687864856, 31.396646983
120.687863754, 31.3966483813
120.687862552, 31.3966498795
120.687861349, 31.3966512777
120.687860147, 31.3966527759
120.687858945, 31.396654174
120.687857742, 31.3966556722
120.68785664, 31.3966570705
120.687855438, 31.3966584687
120.687854236, 31.3966599669
120.687853033, 31.396661365
120.687851831, 31.3966628632
120.687850629, 31.3966642614
120.687849426, 31.3966657596
120.687847122, 31.3966685561
120.68784592, 31.3966700542
120.687844717, 31.3966714524
120.687843515, 31.3966729506
120.687842313, 31.3966743487
120.68784111, 31.3966757469
120.687839908, 31.3966772451
120.687838706, 31.3966786432
120.687837503, 31.3966801414
120.687836401, 31.3966815398
120.687835199, 31.396683038
120.687833997, 31.3966844361
120.687832794, 31.3966858343
120.687831592, 31.3966873324
120.68783039, 31.3966887306
120.687829187, 31.3966902288
120.687827985, 31.3966916269
120.687826783, 31.3966930251
120.68782558, 31.3966945233
120.687824378, 31.3966959214
120.687823176, 31.3966974196
120.687821973, 31.3966988178
120.687820771, 31.3967002159
120.687819569, 31.3967017141
120.687818467, 31.3967031125
120.687817264, 31.3967045106
120.687816062, 31.3967060088
120.68781486, 31.396707407
120.687813657, 31.3967089051
120.687812455, 31.3967103033
120.687811253, 31.3967117015
120.68781005, 31.3967131996
120.687808848, 31.3967145978
120.687807646, 31.3967159959
120.687806443, 31.3967174941
120.687805241, 31.3967188923
120.687804039, 31.3967202904
120.687802836, 31.3967217886
120.687801634, 31.3967231868
120.687800432, 31.396724685
120.687799229, 31.3967260831
120.687798027, 31.3967274813
120.687796825, 31.3967288794
120.687795622, 31.3967303776
120.68779442, 31.3967317758
120.687793218, 31.396733274
120.687792015, 31.3967346721
120.687790813, 31.3967360703
120.687789611, 31.3967375684
120.687788408, 31.3967389666
120.687787206, 31.3967404648
120.687786004, 31.3967418629
120.687784801, 31.3967432611
120.687783599, 31.3967446593
120.687782397, 31.3967461574
120.687781194, 31.3967475556
120.687779992, 31.3967490538
120.68777879, 31.3967504519
120.687777587, 31.3967518501
120.687776385, 31.3967533483
120.687775183, 31.3967547464
120.68777398, 31.3967561446
120.687772678, 31.3967575426
120.687771476, 31.3967590407
120.687770273, 31.3967604389
120.687769071, 31.3967619371
120.687767869, 31.3967633352
120.687766666, 31.3967647334
120.687765464, 31.3967662316
120.687764262, 31.3967676297
120.687763059, 31.3967690279
120.687761857, 31.3967705261
120.687760655, 31.3967719242
120.687759452, 31.3967733224
120.68775825, 31.3967747205
120.687757048, 31.3967762187
120.687755845, 31.3967776169
120.687754643, 31.396779115
120.687753441, 31.3967805132
120.687752238, 31.3967819114
120.687751036, 31.3967834095
120.687749733, 31.3967848075
120.687748531, 31.3967862057
120.687747329, 31.3967876038
120.687746126, 31.396789102
120.687744924, 31.3967905002
120.687743722, 31.3967918983
120.687742519, 31.3967933965
120.687741317, 31.3967947947
120.687740115, 31.3967961928
120.687738912, 31.396797691
120.68773771, 31.3967990891
120.687736408, 31.3968004871
120.687735205, 31.3968019853
120.687734003, 31.3968033834
120.687732801, 31.3968047816
120.687731598, 31.3968061798
120.687730396, 31.3968076779
120.687729194, 31.3968090761
120.687727991, 31.3968104743
120.687726789, 31.3968119724
120.687725587, 31.3968133706
120.687724284, 31.3968147686
120.687723082, 31.3968161667
120.687721879, 31.3968176649
120.687720677, 31.396819063
120.687719475, 31.3968204612
120.687718272, 31.3968219594
120.68771707, 31.3968233575
120.687715868, 31.3968247557
120.687714565, 31.3968262537
120.687713363, 31.3968276518
120.687712161, 31.39682905
120.687710958, 31.3968304482
120.687709756, 31.3968319463
120.687708554, 31.3968333445
120.687707251, 31.3968347425
120.687706049, 31.3968361406
120.687704846, 31.3968376388
120.687703644, 31.396839037
120.687702442, 31.3968404351
120.687701239, 31.3968419333
120.687700037, 31.3968433314
120.687698735, 31.3968447294
120.687697532, 31.3968461276
120.68769633, 31.3968476257
120.687695128, 31.3968490239
120.687693925, 31.3968504221
120.687692623, 31.39685182
120.68769142, 31.3968533182
120.687690218, 31.3968547164
120.687689016, 31.3968561145
120.687687813, 31.3968575127
120.687686511, 31.3968589106
120.687685309, 31.3968604088
120.687684106, 31.396861807
120.687682904, 31.3968632051
120.687681601, 31.3968647031
120.687680399, 31.3968661013
120.687679197, 31.3968674994
120.687677994, 31.3968688976
120.687676792, 31.3968703958
120.68767549, 31.3968717937
120.687674287, 31.3968731919
120.687673085, 31.39687459
120.68767058, 31.3968774862
120.687666873, 31.3968816805
120.687666873, 31.3968816805
120.68766567, 31.3968830786
120.687664468, 31.3968845768
120.687663266, 31.396885975
120.687661963, 31.3968873729
120.687660761, 31.3968887711
120.687659559, 31.3968901692
120.687658256, 31.3968916672
120.687657054, 31.3968930654
120.687655851, 31.3968944635
120.687654649, 31.3968958617
120.687653347, 31.3968973597
120.687652144, 31.3968987578
120.687650942, 31.396900156
120.687649639, 31.396901554
120.687648437, 31.3969029521
120.687647235, 31.3969043503
120.687645932, 31.3969058483
120.68764473, 31.3969072464
120.687643528, 31.3969086446
120.687642225, 31.3969100425
120.687641023, 31.3969114407
120.68763982, 31.3969129389
120.687638518, 31.3969143368
120.687637315, 31.396915735
120.687636013, 31.396917133
120.687634811, 31.3969185311
120.687633608, 31.3969199293
